City/Region,Long/Lat,Notes
Actium,38°92'N 20°80'E,
Alexandrium,,
Allobrogibus,,
Alyzia,38°42′N 20°56′E,
Arpinati,,
Astura,41°42'N 12°78'E,
Athens,37°98'N 23°73'E,
Attici Ficuleano house,,
Brindisium,40°38′N 17°56′E,
Brundisium,40°38′N 17°56′E,
Caesars,,
Campania,40°50′N 14°3′E,-- Cumae
Capua,41°06'N 14°12'E,
Cilicia,36°52′N 35°29′E,
Corcyra,39°35′N 19°52′E,
Corduba,37°53'N 4°78′W,
Cumanum,40°50′N 14°3′E,
Cyprum,35°10′N 33°22′E ,-- Nicosia
Dertona,44°53′N 8°51'E,
Dyrrhachium,41°18′N 19°26′E,
Eporedia,45°28′N 7°53′E,
Formium,,
Gallia,,
Hispania,,
Iconium,,
Intimilium,43°47′N 7°36E,
Lanuvium,41°41′N 12°42′E,
Laterium,41°65'N 13°60'E,
Latium,41°53′N 12°30′E,-- Rome
Laudicea,37°50′N 29°06′E,
Lepidus,,
Maium,,
Menturnis,,
Mopsuhestia,36°57′N 35°37′E,
Mytilens,39°6′N 26°33′E,
Narona,43°04'N 17° 37'E,
Neapolium,40°50′N 14°15′E,
Parma,44°48'N 10°19'E,
Patra,,
Perga,36°57′N 30°51′E,
Pindenessus,36°75'N 36°33'E,
Pindenissus,36°75'N 36°33'E,
Pollentia,39°51′N 3°7′E,
Pompeiano house,,
Pomptinum,,
Ponte,,
Pyramus,,
Regium,38°06′N 15°39′E,OR 44°42′N 10°38′E
Rhodium,36°10′N 27°56′E,
Roma,41°53′N 12°30′E,
Sicilia,37°60'N 14°01'E,
Sidae,38°90'N 22°53'E,
Syria,34°80'N 39°00'E,
Tadolics,,
Tarsium,,
Thessalonica,40°65'N 22°90'E,
Tusculanum,36°92'N 34°90'E,
Velia,40°09′N 15°09′E,
Vercells,,
Voconium,,